iter	RMSE
0	53.75190243
1	49.19891273
2	45.05350929
3	41.4254093
4	38.14276605
5	35.0028163
6	32.10353045
7	29.5692723
8	27.25381773
9	25.09532398
10	23.08675882
11	21.35558193
12	19.6987954
13	18.18092059
14	16.78827825
15	15.50896824
16	14.49170502
17	13.5253606
18	12.63175549
19	11.82851961
20	11.0370519
21	10.3469518
22	9.783018432
23	9.19659903
24	8.704422784
25	8.265667782
26	7.841930056
27	7.460698196
28	7.103290625
29	6.78109373
30	6.505083165
31	6.271307495
32	6.046762697
33	5.828921231
34	5.658162201
35	5.500745786
36	5.356674786
37	5.240667485
38	5.129974491
39	5.025931515
40	4.917150382
41	4.85025959
42	4.768991977
43	4.695976894
44	4.634849105
45	4.590037918
46	4.542416594
47	4.497955376
48	4.463079886
49	4.418563173
50	4.3829807
51	4.35627092
52	4.327144952
53	4.302749083
54	4.262465314
55	4.236326767
56	4.218100234
57	4.197315466
58	4.173792782
59	4.160120206
60	4.137824338
61	4.123361087
62	4.102274757
63	4.071461859
64	4.060096637
65	4.041299665
66	4.024047188
67	4.00872776
68	3.986923315
69	3.965197309
70	3.956218992
71	3.950433565
72	3.940053814
73	3.927490674
74	3.917943439
75	3.902779098
76	3.885010582
77	3.868325078
78	3.860183518
79	3.8480999
80	3.835833344
81	3.832069168
82	3.815009354
83	3.798138104
84	3.79000765
85	3.777633812
86	3.758401733
87	3.741638786
88	3.727650525
89	3.714116888
90	3.708236116
91	3.697991963
92	3.68022066
93	3.669909287
94	3.660481996
95	3.638309495
96	3.631518294
97	3.61809234
98	3.600534616
99	3.596398883
100	3.588541293
101	3.581416902
102	3.570900186
103	3.566816788
104	3.556669525
105	3.548410875
106	3.540562592
107	3.530904066
108	3.519946701
109	3.516211167
110	3.509583746
111	3.496998129
112	3.48897507
113	3.482429063
114	3.478758067
115	3.470842335
116	3.463583077
117	3.460767552
118	3.449163466
119	3.441975109
120	3.429083501
121	3.426587839
122	3.423945922
123	3.413858012
124	3.404546861
125	3.397277907
126	3.394939044
127	3.38603333
128	3.375624466
129	3.367223841
130	3.361759955
131	3.359003415
132	3.354273709
133	3.348703385
134	3.345743918
135	3.341759918
136	3.332104165
137	3.327065661
138	3.318160897
139	3.310867145
140	3.302720771
141	3.299916737
142	3.290872496
143	3.288301858
144	3.280991156
145	3.273040526
146	3.266142008
147	3.252882155
148	3.242570439
149	3.241582649
150	3.234481106
151	3.228147436
152	3.224024496
153	3.219855353
154	3.210445132
155	3.209249385
156	3.204139644
157	3.192878064
158	3.188007527
159	3.183747788
160	3.18118903
161	3.171127909
162	3.16369494
163	3.159651377
164	3.148821394
165	3.144187016
166	3.135263102
167	3.131808071
168	3.128665703
169	3.121559865
170	3.121003364
171	3.109927515
172	3.104868073
