iter	Passed	Remaining
0	195	195130
1	256	128003
2	315	104865
3	378	94339
4	436	86840
5	482	79948
6	529	75042
7	574	71285
8	619	68169
9	664	65739
10	707	63648
11	752	61968
12	796	60473
13	844	59490
14	888	58329
15	932	57328
16	977	56506
17	1024	55872
18	1070	55256
19	1115	54646
20	1161	54126
21	1206	53631
22	1251	53153
23	1294	52655
24	1337	52173
25	1385	51899
26	1429	51508
27	1478	51310
28	1521	50945
29	1564	50600
30	1609	50294
31	1653	50016
32	1697	49750
33	1741	49466
34	1786	49252
35	1835	49150
36	1877	48860
37	1922	48662
38	1966	48452
39	2009	48239
40	2052	48008
41	2097	47833
42	2141	47658
43	2184	47471
44	2228	47295
45	2273	47143
46	2318	47013
47	2363	46881
48	2409	46764
49	2459	46738
50	2503	46591
51	2546	46426
52	2591	46300
53	2636	46179
54	2680	46062
55	2725	45946
56	2770	45835
57	2815	45732
58	2859	45606
59	2904	45499
60	2948	45381
61	2992	45275
62	3036	45160
63	3080	45058
64	3125	44964
65	3170	44867
66	3216	44793
67	3260	44692
68	3303	44568
69	3347	44470
70	3394	44418
71	3440	44347
72	3486	44276
73	3531	44185
74	3577	44116
75	3620	44019
76	3664	43931
77	3709	43849
78	3753	43762
79	3797	43676
80	3839	43566
81	3883	43481
82	3926	43386
83	3970	43294
84	4015	43221
85	4059	43142
86	4114	43176
87	4158	43092
88	4201	43010
89	4244	42915
90	4288	42834
91	4330	42742
92	4375	42674
93	4435	42746
94	4479	42669
95	4523	42593
96	4567	42519
97	4612	42450
98	4656	42378
99	4700	42300
100	4742	42216
101	4787	42148
102	4832	42085
103	4878	42031
104	4921	41946
105	4966	41888
106	5009	41804
107	5053	41734
108	5098	41674
109	5143	41614
110	5187	41543
111	5230	41471
112	5274	41403
113	5330	41424
114	5377	41381
115	5424	41335
116	5468	41272
117	5513	41207
118	5558	41152
119	5602	41087
120	5647	41024
121	5690	40953
122	5735	40892
123	5780	40836
124	5824	40769
125	5867	40702
126	5912	40641
127	5957	40582
128	6001	40522
129	6047	40468
130	6090	40398
131	6133	40334
132	6174	40247
133	6217	40184
134	6261	40122
135	6304	40055
136	6349	39998
137	6394	39945
138	6444	39920
139	6489	39861
140	6533	39803
141	6577	39743
142	6622	39685
143	6667	39632
144	6711	39575
145	6756	39521
146	6798	39449
147	6842	39392
148	6888	39343
149	6932	39285
150	6979	39240
151	7023	39184
152	7066	39118
153	7108	39051
154	7152	38993
155	7197	38940
156	7240	38876
157	7285	38822
158	7329	38766
159	7373	38712
160	7417	38651
161	7461	38598
162	7506	38543
163	7549	38485
164	7592	38424
165	7636	38366
166	7678	38299
167	7721	38238
168	7763	38176
169	7809	38126
170	7854	38077
171	7897	38019
172	7941	37965
173	7987	37917
174	8032	37867
175	8074	37804
176	8118	37746
177	8161	37689
178	8204	37629
179	8246	37569
180	8289	37509
181	8334	37457
182	8378	37406
183	8424	37359
184	8469	37309
185	8512	37255
186	8556	37199
187	8599	37143
188	8644	37092
189	8686	37030
190	8729	36976
191	8774	36924
192	8818	36871
193	8862	36819
194	8905	36762
195	8949	36709
196	8996	36672
197	9040	36617
198	9085	36568
199	9128	36514
200	9172	36463
201	9215	36406
202	9258	36349
203	9302	36298
204	9349	36258
205	9395	36214
206	9439	36161
207	9483	36111
208	9528	36061
209	9572	36011
210	9616	35959
211	9661	35912
212	9705	35861
213	9749	35808
214	9793	35757
215	9837	35705
216	9880	35651
217	9924	35599
218	9968	35548
219	10012	35498
220	10056	35448
221	10103	35408
222	10149	35365
223	10194	35316
224	10237	35263
225	10281	35212
226	10326	35164
227	10370	35114
228	10413	35059
229	10459	35015
230	10502	34961
231	10546	34913
232	10576	34815
233	10620	34764
234	10668	34730
235	10713	34682
236	10758	34635
237	10804	34592
238	10847	34540
239	10891	34488
240	10934	34437
241	10976	34380
242	11019	34327
243	11065	34283
244	11107	34229
245	11153	34186
246	11195	34130
247	11239	34082
248	11284	34035
249	11325	33975
250	11371	33934
251	11415	33883
252	11463	33845
253	11509	33802
254	11553	33755
255	11597	33706
256	11639	33651
257	11684	33604
258	11728	33554
259	11770	33500
260	11813	33448
261	11858	33402
262	11903	33356
263	11947	33307
264	11990	33257
265	12034	33206
266	12077	33157
267	12123	33113
268	12167	33065
269	12210	33013
270	12254	32964
271	12299	32918
272	12343	32869
273	12388	32825
274	12434	32782
275	12479	32735
276	12523	32686
277	12569	32643
278	12613	32595
279	12657	32547
280	12701	32500
281	12745	32451
282	12793	32413
283	12839	32369
284	12887	32330
285	12933	32288
286	12980	32246
287	13024	32199
288	13067	32149
289	13111	32100
290	13153	32048
291	13199	32003
292	13244	31959
293	13288	31911
294	13333	31863
295	13379	31820
296	13424	31776
297	13470	31732
298	13515	31687
299	13560	31642
300	13605	31595
301	13649	31547
302	13693	31500
303	13737	31450
304	13781	31403
305	13825	31354
306	13876	31324
307	13921	31277
308	13980	31264
309	14023	31213
310	14068	31167
311	14113	31121
312	14157	31073
313	14202	31029
314	14246	30980
315	14290	30933
316	14334	30884
317	14378	30836
318	14422	30788
319	14467	30743
320	14513	30699
321	14559	30656
322	14611	30625
323	14657	30581
324	14702	30535
325	14746	30487
326	14790	30439
327	14835	30393
328	14878	30345
329	14922	30297
330	14967	30252
331	15012	30206
332	15057	30160
333	15102	30114
334	15145	30064
335	15188	30016
336	15231	29966
337	15273	29914
338	15317	29865
339	15363	29824
340	15407	29775
341	15450	29726
342	15494	29678
343	15540	29634
344	15584	29587
345	15628	29541
346	15672	29493
347	15717	29447
348	15759	29396
349	15802	29347
350	15847	29301
351	15890	29252
352	15934	29205
353	15978	29157
354	16020	29107
355	16066	29063
356	16113	29022
357	16159	28978
358	16204	28933
359	16252	28893
360	16300	28854
361	16348	28813
362	16396	28773
363	16442	28729
364	16492	28692
365	16540	28651
366	16588	28611
367	16635	28569
368	16683	28528
369	16726	28480
370	16771	28434
371	16815	28386
372	16860	28341
373	16902	28291
374	16945	28242
375	16988	28193
376	17031	28144
377	17075	28097
378	17119	28049
379	17163	28003
380	17206	27954
381	17257	27918
382	17300	27870
383	17340	27816
384	17384	27770
385	17425	27719
386	17471	27674
387	17516	27628
388	17556	27576
389	17601	27531
390	17647	27486
391	17693	27443
392	17737	27395
393	17781	27349
394	17825	27302
395	17870	27256
396	17914	27209
397	17958	27162
398	18001	27114
399	18044	27067
400	18086	27017
401	18131	26971
402	18175	26925
403	18219	26879
404	18264	26833
405	18308	26785
406	18351	26737
407	18393	26689
408	18439	26645
409	18483	26598
410	18528	26553
411	18572	26506
412	18616	26459
413	18660	26413
414	18701	26361
415	18743	26312
416	18787	26266
417	18831	26219
418	18874	26172
419	18919	26126
420	18962	26079
421	19006	26032
422	19052	25988
423	19095	25940
424	19139	25894
425	19181	25845
426	19225	25799
427	19269	25752
428	19314	25707
429	19358	25661
430	19401	25614
431	19443	25565
432	19485	25515
433	19530	25470
434	19574	25424
435	19619	25379
436	19663	25332
437	19707	25286
438	19751	25240
439	19792	25190
440	19835	25143
441	19876	25093
442	19920	25046
443	19963	24999
444	20009	24956
445	20054	24910
446	20098	24864
447	20142	24818
448	20187	24772
449	20228	24724
450	20270	24675
451	20314	24629
452	20359	24583
453	20403	24537
454	20446	24490
455	20488	24442
456	20540	24405
457	20584	24359
458	20628	24313
459	20670	24265
460	20711	24215
461	20755	24169
462	20798	24122
463	20840	24074
464	20883	24027
465	20927	23981
466	20971	23935
467	21017	23891
468	21060	23844
469	21102	23796
470	21144	23747
471	21188	23702
472	21232	23656
473	21276	23610
474	21321	23565
475	21366	23521
476	21410	23474
477	21453	23428
478	21497	23381
479	21541	23336
480	21586	23291
481	21630	23245
482	21674	23199
483	21718	23154
484	21759	23105
485	21802	23058
486	21844	23010
487	21888	22964
488	21930	22916
489	21973	22870
490	22017	22825
491	22062	22779
492	22106	22734
493	22148	22686
494	22191	22639
495	22236	22595
496	22279	22548
497	22324	22503
498	22370	22459
499	22414	22414
500	22457	22368
501	22501	22322
502	22547	22278
503	22592	22234
504	22636	22188
505	22680	22142
506	22724	22097
507	22778	22060
508	22823	22016
509	22866	21969
510	22911	21924
511	22952	21876
512	22994	21829
513	23044	21789
514	23088	21743
515	23133	21699
516	23178	21653
517	23224	21610
518	23267	21563
519	23310	21517
520	23355	21472
521	23398	21426
522	23440	21379
523	23483	21332
524	23527	21286
525	23571	21241
526	23615	21195
527	23657	21148
528	23701	21103
529	23745	21057
530	23789	21011
531	23833	20966
532	23877	20920
533	23919	20873
534	23959	20824
535	24003	20778
536	24044	20731
537	24087	20684
538	24130	20638
539	24172	20591
540	24212	20542
541	24254	20495
542	24301	20452
543	24346	20407
544	24386	20359
545	24429	20312
546	24471	20266
547	24512	20218
548	24556	20172
549	24597	20125
550	24643	20081
551	24686	20035
552	24729	19989
553	24773	19943
554	24817	19898
555	24861	19853
556	24904	19807
557	24949	19762
558	24993	19717
559	25036	19671
560	25080	19626
561	25123	19580
562	25166	19533
563	25209	19488
564	25254	19443
565	25296	19396
566	25341	19352
567	25384	19306
568	25427	19260
569	25471	19215
570	25515	19170
571	25558	19124
572	25602	19079
573	25645	19033
574	25689	18987
575	25732	18942
576	25773	18894
577	25814	18846
578	25858	18801
579	25902	18756
580	25945	18710
581	25988	18664
582	26033	18620
583	26076	18575
584	26120	18529
585	26162	18483
586	26205	18437
587	26249	18392
588	26293	18347
589	26337	18302
590	26380	18256
591	26425	18211
592	26467	18165
593	26511	18120
594	26552	18073
595	26599	18030
596	26642	17985
597	26687	17940
598	26731	17895
599	26773	17849
600	26815	17802
601	26857	17756
602	26900	17710
603	26941	17663
604	26985	17618
605	27029	17573
606	27072	17527
607	27115	17482
608	27158	17437
609	27202	17391
610	27256	17353
611	27302	17309
612	27344	17263
613	27387	17217
614	27431	17172
615	27475	17127
616	27516	17080
617	27560	17035
618	27620	17000
619	27663	16955
620	27708	16910
621	27751	16864
622	27794	16819
623	27837	16773
624	27877	16726
625	27919	16680
626	27962	16634
627	28005	16589
628	28044	16541
629	28084	16494
630	28128	16449
631	28172	16404
632	28214	16358
633	28272	16321
634	28320	16278
635	28380	16242
636	28431	16201
637	28473	16155
638	28516	16110
639	28559	16064
640	28607	16022
641	28650	15976
642	28695	15931
643	28737	15886
644	28781	15840
645	28824	15795
646	28870	15751
647	28914	15706
648	28957	15661
649	29001	15616
650	29044	15570
651	29086	15524
652	29128	15478
653	29171	15433
654	29215	15388
655	29264	15346
656	29312	15302
657	29358	15259
658	29401	15213
659	29445	15168
660	29487	15122
661	29531	15077
662	29574	15032
663	29619	14987
664	29658	14940
665	29700	14894
666	29742	14849
667	29787	14804
668	29832	14760
669	29876	14715
670	29920	14670
671	29964	14625
672	30008	14580
673	30049	14534
674	30093	14489
675	30138	14445
676	30180	14399
677	30223	14354
678	30264	14307
679	30306	14261
680	30349	14216
681	30393	14171
682	30438	14127
683	30480	14081
684	30522	14036
685	30565	13990
686	30610	13946
687	30652	13900
688	30695	13855
689	30738	13810
690	30782	13765
691	30826	13720
692	30870	13675
693	30915	13631
694	30958	13586
695	31007	13543
696	31049	13497
697	31093	13453
698	31138	13408
699	31184	13364
700	31225	13318
701	31265	13272
702	31308	13227
703	31352	13182
704	31400	13139
705	31445	13094
706	31489	13049
707	31532	13004
708	31580	12961
709	31624	12917
710	31669	12872
711	31713	12828
712	31757	12783
713	31798	12737
714	31842	12692
715	31884	12646
716	31926	12601
717	31972	12557
718	32015	12512
719	32064	12469
720	32108	12424
721	32150	12379
722	32195	12335
723	32238	12289
724	32284	12245
725	32327	12200
726	32371	12155
727	32416	12111
728	32460	12066
729	32503	12021
730	32547	11977
731	32592	11932
732	32639	11889
733	32684	11844
734	32729	11800
735	32772	11755
736	32815	11710
737	32864	11667
738	32915	11625
739	32964	11581
740	33004	11536
741	33047	11490
742	33092	11446
743	33135	11401
744	33178	11356
745	33222	11311
746	33266	11267
747	33310	11222
748	33356	11178
749	33410	11136
750	33461	11094
751	33507	11050
752	33548	11004
753	33600	10962
754	33646	10918
755	33691	10873
756	33738	10830
757	33786	10786
758	33831	10742
759	33874	10697
760	33916	10651
761	33958	10606
762	34000	10561
763	34045	10516
764	34090	10472
765	34135	10427
766	34178	10382
767	34222	10337
768	34263	10292
769	34306	10247
770	34349	10202
771	34391	10157
772	34434	10112
773	34477	10067
774	34520	10022
775	34563	9977
776	34611	9933
777	34655	9888
778	34700	9844
779	34743	9799
780	34785	9754
781	34828	9709
782	34870	9663
783	34913	9618
784	34956	9574
785	34999	9529
786	35043	9484
787	35087	9439
788	35131	9395
789	35176	9350
790	35219	9305
791	35261	9260
792	35308	9216
793	35350	9171
794	35393	9126
795	35435	9081
796	35478	9036
797	35520	8991
798	35563	8946
799	35607	8901
800	35647	8856
801	35692	8811
802	35735	8766
803	35778	8722
804	35820	8676
805	35861	8631
806	35908	8587
807	35952	8543
808	35994	8498
809	36036	8453
810	36079	8408
811	36122	8363
812	36164	8318
813	36207	8273
814	36251	8228
815	36294	8183
816	36336	8139
817	36379	8094
818	36422	8049
819	36464	8004
820	36507	7959
821	36550	7914
822	36593	7870
823	36635	7825
824	36679	7780
825	36721	7735
826	36765	7690
827	36807	7645
828	36850	7601
829	36895	7556
830	36939	7512
831	36982	7467
832	37024	7422
833	37067	7377
834	37109	7333
835	37153	7288
836	37196	7243
837	37241	7199
838	37288	7155
839	37332	7110
840	37373	7065
841	37415	7020
842	37459	6976
843	37502	6931
844	37545	6887
845	37591	6842
846	37635	6798
847	37691	6755
848	37733	6711
849	37778	6666
850	37822	6622
851	37865	6577
852	37908	6532
853	37951	6488
854	37994	6443
855	38037	6398
856	38085	6355
857	38128	6310
858	38171	6265
859	38218	6221
860	38262	6177
861	38303	6132
862	38343	6087
863	38387	6042
864	38430	5997
865	38472	5953
866	38513	5908
867	38556	5863
868	38598	5818
869	38642	5774
870	38686	5729
871	38729	5685
872	38772	5640
873	38816	5595
874	38859	5551
875	38903	5506
876	38946	5462
877	38989	5417
878	39032	5373
879	39074	5328
880	39117	5283
881	39160	5239
882	39206	5194
883	39250	5150
884	39292	5105
885	39352	5063
886	39396	5018
887	39443	4974
888	39487	4930
889	39530	4885
890	39574	4841
891	39617	4796
892	39661	4752
893	39706	4707
894	39749	4663
895	39793	4618
896	39835	4574
897	39878	4529
898	39921	4485
899	39964	4440
900	40007	4395
901	40050	4351
902	40094	4306
903	40138	4262
904	40180	4217
905	40229	4173
906	40272	4129
907	40320	4085
908	40363	4040
909	40406	3996
910	40446	3951
911	40490	3907
912	40533	3862
913	40576	3817
914	40620	3773
915	40664	3729
916	40709	3684
917	40753	3640
918	40798	3595
919	40841	3551
920	40884	3506
921	40927	3462
922	40970	3417
923	41013	3373
924	41055	3328
925	41098	3284
926	41142	3239
927	41185	3195
928	41227	3150
929	41270	3106
930	41316	3062
931	41358	3017
932	41401	2973
933	41441	2928
934	41484	2883
935	41527	2839
936	41569	2794
937	41612	2750
938	41654	2705
939	41695	2661
940	41736	2616
941	41779	2572
942	41823	2528
943	41866	2483
944	41908	2439
945	41954	2394
946	42000	2350
947	42046	2306
948	42104	2262
949	42145	2218
950	42191	2173
951	42235	2129
952	42279	2085
953	42325	2040
954	42369	1996
955	42412	1952
956	42455	1907
957	42500	1863
958	42540	1818
959	42583	1774
960	42626	1729
961	42669	1685
962	42712	1641
963	42757	1596
964	42800	1552
965	42847	1508
966	42894	1463
967	42938	1419
968	42982	1375
969	43027	1330
970	43071	1286
971	43114	1241
972	43156	1197
973	43198	1153
974	43245	1108
975	43287	1064
976	43329	1020
977	43371	975
978	43413	931
979	43456	886
980	43498	842
981	43542	798
982	43586	753
983	43628	709
984	43669	665
985	43710	620
986	43754	576
987	43798	531
988	43843	487
989	43887	443
990	43927	398
991	43970	354
992	44011	310
993	44054	265
994	44097	221
995	44140	177
996	44182	132
997	44226	88
998	44267	44
999	44310	0
